Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51201509,"Once & Future, Vol. 1: The King is Undead",Kieron Gillen,"Gillen, Kieron",Dan Mora,"=""168415491X""","=""9781684154913""",0,4.09,BOOM! Studios,Paperback,160,2020,2020,,2020/05/04,"2020, ebook, hoopla, spl","2020 (#10), ebook (#122), hoopla (#25), spl (#64)",read,,,,1,,,0,,,,,
50620191,Once & Future #6,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.32,BOOM! Studios,Kindle Edition,30,2020,2020,,2020/05/04,"2020, ebook, hoopla, spl","2020 (#9), ebook (#121), hoopla (#24), spl (#63)",read,,,,1,,,0,,,,,
17444991,"The Boys Omnibus, Vol. 1",Garth Ennis,"Ennis, Garth","Darick Robertson, Peter Snejbjerg","=""1606904183""","=""9781606904183""",2,3.99,Dynamite Entertainment,Paperback,508,2018,2006,,2019/09/28,"ebook, hoopla, spl","ebook (#113), hoopla (#17), spl (#51)",read,,,,1,,,0,,,,,
52945791,Once & Future #3,Kieron Gillen,"Gillen, Kieron","Dan Mora, Tamra Bonvillain","=""""","=""""",0,4.32,BOOM! Studios,Kindle Edition,24,2019,2019,,2020/01/06,"ebook, hoopla, spl","ebook (#117), hoopla (#21), spl (#56)",read,,,,1,,,0,,,,,
52717590,Bodies (Logic #8),Ben Tarnoff,"Tarnoff, Ben","Moira Weigel, Alex Blasdel, Jen Kagan","=""""","=""9780998662688""",4,4.33,Logic Foundation,Paperback,229,2019,,,2019/09/08,"2019, own, tradeback","2019 (#6), own (#69), tradeback (#11)",read,"4.5/5 - Can’t believe it took me so long to subscribe to Logic! Overall, fantastic and thought-provoking content, and the handfeel was as good as I had heard. Looking forward to continuing my subscription and if anyone wants to borrow any issues to check it out, let me know.",,,1,,,0,,,,,
51810543,Tales from the DC Dark Multiverse,Scott Snyder,"Snyder, Scott","Kyle Higgins, Jeff Loveness, Tim Seeley, James Tynion IV, Mat Groom, Javier  Fernández, Brad Walker, Drew Hennessy, Norm Rapmund, Kyle Hotz, Dexter Vines, Walden Wong, Danny Miki, Aaron Lopresti, Matt Ryan, Tom Raney","=""1779501374""","=""9781779501370""",0,3.58,DC Comics,Hardcover,448,2020,2020,,2020/03/19,,,read,,,,1,,,0,,,,,
44024182,"Immortal Hulk, Volume 4: Abomination",Al Ewing,"Ewing, Al",Joe Bennett,"=""130291667X""","=""9781302916671""",0,4.18,Marvel,Paperback,112,2019,2019,,2020/03/19,,,read,,,,1,,,0,,,,,
42450773,"Immortal Hulk, Volume 3: Hulk In Hell",Al Ewing,"Ewing, Al","Joe Bennett, Kyle Hotz, Eric Nguyen, Ruy Jose","=""1302915061""","=""9781302915063""",0,4.02,Marvel,Paperback,112,2019,2019,,2020/03/19,,,read,,,,1,,,0,,,,,
24971700,"ワンパンマン 8 [Wanpanman 8] (Onepunch-Man, #8)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088803825""","=""9784088803821""",0,4.44,集英社 (Shueisha),Paperback,200,2015,2015,,2020/03/12,,,read,,,,1,,,0,,,,,
23401591,"ワンパンマン 7 [Wanpanman 7] (Onepunch-Man, #7)",ONE,"ONE, ONE","Yusuke Murata, 村田雄介","=""4088802624""","=""9784088802626""",0,4.51,Shueisha,Paperback,208,2014,2014,,2020/03/12,,,read,,,,1,,,0,,,,,
